[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:23:19.914000: +goose
[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:23:33.803000: !goose
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-14 15:23:34.592000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:23:38.260000: !8ball
[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:23:45.368000: !eightball
[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:23:55.069000: !lizard
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-14 15:23:55.610000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:23:59.244000: there you go
[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:24:00.466000: that works
[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:24:01.384000: i think
[gf] | [general] | [Eddy#5180] @ 2021-06-14 15:26:12.224000: dalfsdjflasdjflasdkjdf
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:10:15.155000: !trap
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:10:15.873000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:12:40.907000: +trap
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:12:50.568000: !trap
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:12:51.437000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:16:36.868000: !trap
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:18:02.905000: !trap
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:18:36.870000: !trap
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:19:11.615000: !trap
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:19:12.383000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:20:32.583000: !trap
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:20:33.315000: 
[None] | [Direct Message with Eddy#5180] | [Eddy#5180] @ 2021-06-15 21:21:00.863000: __fart__
[None] | [Direct Message with Eddy#5180] | [Eddy#5180] @ 2021-06-15 21:21:22.919000: __**fart**__
[None] | [Direct Message with Eddy#5180] | [Eddy#5180] @ 2021-06-15 21:23:46.706000: !trap
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:24:02.152000: !trap
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:24:02.752000: 
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:32:36.492000: yuri
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:32:53.692000: !trap
[None] | [Direct Message with OZWALD#9684] | [Eddys private hentai bot#1450] @ 2021-06-15 21:32:55.063000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:36:26.002000: !help
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:36:26.334000: 
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:36:34.604000: !help
[None] | [Direct Message with OZWALD#9684] | [Eddys private hentai bot#1450] @ 2021-06-15 21:36:35.194000: 
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:36:51.773000: !insect
[10:34 PM]
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:36:58.216000: !insect
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:37:13.479000: !help social
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:37:13.953000: 
[None] | [Direct Message with OZWALD#9684] | [OZWALD#9684] @ 2021-06-15 21:37:14.261000: +help
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:37:29.729000: !help social
[None] | [Direct Message with OZWALD#9684] | [Eddys private hentai bot#1450] @ 2021-06-15 21:37:30.007000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:37:34.824000: !cuddle <@!392289917889413141>
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:37:35.595000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:37:50.317000: !cuddle <@!392289917889413141> gay sex
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:37:50.880000: 
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:38:00.952000: queer
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:38:07.071000: !slap <@!392289917889413141> baka
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:38:07.862000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:38:31.813000: !wordsfromgod
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:38:33.607000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:38:54.800000: !help misc
[None] | [Direct Message with Eddy#5180] | [Eddys private hentai bot#1450] @ 2021-06-15 21:38:55.262000: 
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:39:01.052000: add comand +super with this attachment
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:39:26.705000: !goose
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:39:27.422000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:39:35.092000: look at this goose
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:39:37.674000: !franky
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:39:41.285000: dude
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:39:43.357000: lok at this goose
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:39:46.136000: what do you mean
[gf] | [general] | [OZWALD#9684] @ 2021-06-15 21:39:47.492000: !goose
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:39:48.020000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:39:52.977000: !goose
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:39:53.278000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:39:58.345000: !cat
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:01.951000: !neko
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:40:02.257000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:07.578000: !nkeo
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:09.697000: !neko
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:40:10.026000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:13.715000: !neko
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:40:14.043000: 
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:19.184000: !fox_girl
[gf] | [general] | [Eddy#5180] @ 2021-06-15 21:40:23.210000: !foxgirl
[gf] | [general] | [Eddys private hentai bot#1450] @ 2021-06-15 21:40:23.568000: 
